Location,Density,Sal,Replicate,Hatch_date,Julian_hatch,Start_Date,Julian_start,Date_MM,Julian_MM,MM_tail,MM_total,Mass_MM,Final_length,Final_mass,Final_date,Julian_final,Time_MM,Dead,Dead_date,,,,,,,
Coastal,4,0,5,7/5/17,42921,7/10/17,42926,9/8/17,42986,31.02,49.81,0.804,18.9,0.46,9/11/17,42989,68,1,,,,,,,,
Coastal,4,0,5,7/5/17,42921,7/10/17,42926,9/14/17,42992,32.54,48.11,0.639,17.53,0.412,9/18/17,42996,75,1,,,,,,,,
Coastal,4,0,5,7/5/17,42921,7/10/17,42926,9/29/17,43007,38.96,58.86,0.984,,,,,,1,,killed accidentally,,,,,,
Coastal,4,0,6,7/5/17,42921,7/10/17,42926,9/4/17,42982,28.75,44.66,0.621,18.04,0.404,9/7/17,42985,64,1,,,9/4/17,29.59,41.22,0.588,,
Coastal,4,0,6,7/5/17,42921,7/10/17,42926,8/23/17,42970,22.74,36,0.354,14.25,0.212,8/26/17,42973,52,1,,,,,,,,
Coastal,4,0,6,7/5/17,42921,7/10/17,42926,9/11/17,42989,30.23,49.68,0.703,18.61,0.431,9/15/17,42993,72,1,,,,,,,,
Coastal,4,0,6,7/5/17,42921,7/10/17,42926,9/9/17,42987,21.13,48.75,0.755,16.94,0.447,9/13/17,42991,70,1,,,,,,,,
Inland,4,0,1,7/6/17,42922,7/10/17,42926,8/26/17,42973,25.17,38.32,0.462,14.51,0.299,8/29/17,42976,54,1,,,,,,,,
Inland,4,0,1,7/6/17,42922,7/10/17,42926,8/27/17,42974,30.86,43.06,0.477,15.81,0.298,8/31/17,42978,56,1,,,,,,,,
Inland,4,0,1,7/6/17,42922,7/10/17,42926,9/10/17,42988,35.28,53.71,1.131,20.03,0.662,9/14/17,42992,70,1,,,,,,,,
Inland,4,0,1,7/6/17,42922,7/10/17,42926,,,,,,,,,,,0,,dead,,,,,,
Inland,4,0,2,7/6/17,42922,7/10/17,42926,8/29/17,42976,21.67,35.11,0.434,14.33,0.268,9/2/17,42980,58,1,,,,,,,,
Inland,4,0,2,7/6/17,42922,7/10/17,42926,9/8/17,42986,31.08,44.93,0.765,18.07,0.478,9/12/17,42990,68,1,,,,,,,,
Inland,4,0,2,7/6/17,42922,7/10/17,42926,9/8/17,42986,30.93,48.26,0.818,19.01,0.43,9/11/17,42989,67,1,,,,,,,,
Inland,4,0,2,7/6/17,42922,7/10/17,42926,,,,,,,,,,,0,8/29/17,dead,,,,,,
Inland,4,0,3,7/6/17,42922,7/10/17,42926,8/28/17,42975,24.55,38.1,0.472,15.88,0.305,9/1/17,42979,57,1,,,,,,,,
Inland,4,0,3,7/6/17,42922,7/10/17,42926,8/24/17,42971,20.01,36.43,0.389,15.11,0.279,8/27/17,42974,52,1,,,,,,,,
Inland,4,0,3,7/6/17,42922,7/10/17,42926,8/30/17,42977,23.27,39.22,0.516,16.69,0.328,9/3/17,42981,59,1,,,,,,,,
Inland,4,0,3,7/6/17,42922,7/10/17,42926,,,,,,,,,,,0,,dead,,,,,,
Inland,4,0,4,7/6/17,42922,7/10/17,42926,9/15/17,42993,31.47,52.5,1.014,19.26,0.61,9/19/17,42997,75,1,,,9/4/17,26.6,38.1,0.572,,
Inland,4,0,4,7/6/17,42922,7/10/17,42926,9/2/17,42980,26.48,42.02,0.591,16.93,0.39,9/6/17,42984,62,1,,,24.91,0.41,9/4/17,,,
Inland,4,0,4,7/6/17,42922,7/10/17,42926,8/31/17,42978,22.6,31.12,0.428,15.54,0.286,9/3/17,42981,59,1,,,,,,,,
Inland,4,0,4,7/6/17,42922,7/10/17,42926,9/4/17,42982,26.68,42.02,0.6,16.91,0.375,9/8/17,42986,64,1,,,,,,,,
Inland,4,0,5,7/6/17,42922,7/10/17,42926,9/10/17,42988,28.71,45.41,0.701,19.28,0.505,9/13/17,42991,69,1,,,,,,,,
Inland,4,0,5,7/6/17,42922,7/10/17,42926,,,,,,,,,,,0,,dead,unsure. ,,,,,
Inland,4,0,5,7/6/17,42922,7/10/17,42926,9/3/17,42981,23.89,40.92,0.581,15.88,0.364,9/7/17,42985,63,1,,,,,,,,
Inland,4,0,5,7/6/17,42922,7/10/17,42926,9/4/17,42982,29.05,46.05,0.724,17.74,0.464,9/8/17,42986,64,1,,,,,,,,
Inland,4,0,6,7/6/17,42922,7/10/17,42926,,,,,,,,,,,0,,,,,,,,
Inland,4,0,6,7/6/17,42922,7/10/17,42926,8/28/17,42975,26.51,40.32,0.487,15.27,0.313,9/1/17,42979,57,1,,#7,,,,,,
Inland,4,0,6,7/6/17,42922,7/10/17,42926,9/4/17,42982,24.66,40.85,0.667,16.94,0.394,9/8/17,42986,64,1,,,,,,,,
Inland,4,0,6,7/6/17,42922,7/10/17,42926,9/17/17,42995,34.16,52.4,0.986,19.16,0.68,9/21/17,42999,77,1,,,,,,,,
Coastal,4,4,1,7/5/17,42921,7/10/17,42926,8/28/17,42975,24.94,40,0.441,16.52,0.293,8/31/17,42978,57,1,,,,,,,,
Coastal,4,4,1,7/5/17,42921,7/10/17,42926,8/28/17,42975,26.58,39.96,0.47,14,0.255,9/2/17,42980,59,1,,,,,,,,
Coastal,4,4,1,7/5/17,42921,7/10/17,42926,8/29/17,42976,27.97,44.44,0.501,16.98,0.333,9/1/17,42979,58,1,,,,,,,,
Coastal,4,4,1,7/5/17,42921,7/10/17,42926,,,,,,,,,,,0,,dead,,,,,,
Coastal,4,4,2,7/5/17,42921,7/10/17,42926,8/22/17,42969,26.43,38.41,0.366,14.93,0.229,8/25/17,42972,51,1,,,,,,,,
Coastal,4,4,2,7/5/17,42921,7/10/17,42926,8/21/17,42968,24.68,40.51,0.434,15.76,0.269,8/24/17,42971,50,1,,,,,,,,
Coastal,4,4,2,7/5/17,42921,7/10/17,42926,9/6/17,42984,33.4,54.36,0.986,21.72,0.698,9/9/17,42987,66,1,,,,,,,,
Coastal,4,4,2,7/5/17,42921,7/10/17,42926,,,,,,,,,,,0,,dead,,,,,,
Coastal,4,4,3,7/5/17,42921,7/10/17,42926,8/30/17,42977,29.13,45.43,0.626,18.13,0.427,9/2/17,42980,59,1,,,,,,,,
Coastal,4,4,3,7/5/17,42921,7/10/17,42926,8/29/17,42976,32.27,48.21,0.791,18.82,0.49,9/2/17,42980,59,1,,,,,,,,
